label,Index,nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,longest_vertical_line
a,1,23,1,1,5,3,0.875,0,4,6,6,8,8,7,1,1,5
a,2,26,0,1,6,4,1.3333333333333333,0,6,7,7,5,3,6,1,1,6
a,3,27,1,1,5,5,0.8888888888888888,0,4,5,7,8,9,4,1,1,8
a,4,32,1,1,7,8,0.9,0,3,7,9,9,11,5,1,1,8
a,5,20,0,2,3,4,1.0,1,4,5,6,7,8,6,1,1,6
a,6,29,0,1,8,3,1.0,0,5,6,9,9,6,7,1,1,8
a,7,31,0,1,8,4,1.0,0,4,6,9,7,3,5,1,1,8
a,8,24,0,1,5,5,0.875,0,3,5,8,8,9,4,1,1,7
b,1,22,6,0,3,3,0.3333333333333333,1,2,4,13,12,13,3,1,1,12
b,2,30,8,0,5,5,0.4,1,4,4,14,13,14,4,1,1,14
b,3,44,0,0,7,4,0.4666666666666667,0,6,7,16,15,4,6,1,1,15
b,4,29,7,0,5,4,0.42857142857142855,1,4,5,14,13,14,5,1,1,14
b,5,30,7,0,5,4,0.4,1,4,4,17,14,16,4,1,1,14
b,6,34,8,0,6,5,0.5333333333333333,1,7,8,15,13,14,8,1,1,13
b,7,42,0,0,6,4,0.5,0,6,7,14,13,2,6,1,1,14
b,8,28,7,0,3,5,0.35714285714285715,1,4,5,16,13,15,3,1,1,14
c,1,16,8,1,1,2,0.6363636363636364,2,6,6,5,5,8,10,1,0,4
c,2,20,9,0,2,1,0.6666666666666666,2,9,9,6,6,9,14,1,0,6
c,3,20,7,0,2,3,0.5,2,7,6,8,7,7,8,1,0,8
c,4,22,7,0,2,2,0.5384615384615384,2,7,8,8,7,7,10,1,0,7
c,5,30,8,0,3,4,0.6428571428571429,1,10,11,10,9,9,10,1,0,10
c,6,22,7,0,2,2,0.6666666666666666,2,9,9,7,5,7,12,1,0,6
c,7,23,8,0,2,3,0.8181818181818182,2,11,12,6,5,8,13,1,0,4
c,8,27,7,0,2,3,0.9166666666666666,2,14,15,6,5,7,17,1,0,4
d,1,28,6,0,5,4,0.46153846153846156,1,4,5,12,13,13,5,1,1,13
d,2,31,6,0,3,4,0.5,1,7,8,15,16,17,8,1,1,14
d,3,27,5,0,3,4,0.35714285714285715,1,3,4,15,17,18,4,1,1,14
d,4,29,7,0,4,3,0.42857142857142855,1,5,6,14,15,15,6,1,1,14
d,5,31,9,0,3,3,0.4375,1,7,8,15,18,18,9,1,1,16
d,6,30,7,0,4,3,0.4,1,5,6,16,17,17,7,1,1,15
d,7,30,8,0,4,4,0.4,1,5,6,15,16,16,6,1,1,15
